entry_time,exit_time,side,mode,entry,exit,pnl,reason
2025-12-02 20:29:46.238588,2025-10-11 21:13:00,SHORT,SNIPER_FVG,228.89,229.06,-0.5105100000000479,STOP_LOSS
2025-12-02 20:29:46.242382,2025-10-11 23:09:00,SHORT,SNIPER_FVG,228.27,229.06,-2.377109999999976,STOP_LOSS
2025-12-02 20:29:46.259072,2025-10-11 23:21:00,SHORT,SNIPER_FVG,229.01,229.06,-0.149600000000034,STOP_LOSS
2025-12-02 20:29:46.240549,2025-10-12 00:30:00,SHORT,TREND_FOLLOWING,228.38,232.9476,-9.158037999999998,STOP_LOSS
2025-12-02 20:29:46.264974,2025-10-12 00:31:00,LONG,SCALP_BB,229.72,233.1658,3.425125199999991,TAKE_PROFIT
2025-12-02 20:29:46.334700,2025-10-12 07:01:00,SHORT,SNIPER_FVG,228.98,229.06,-0.23784000000003716,STOP_LOSS
2025-12-02 20:29:46.336771,2025-10-12 07:06:00,SHORT,SNIPER_FVG,228.95,229.06,-0.32703000000004057,STOP_LOSS
2025-12-02 20:29:46.363077,2025-10-12 09:37:00,SHORT,SNIPER_FVG,228.74,229.06,-0.9516799999999798,STOP_LOSS
2025-12-02 20:29:46.363786,2025-10-12 09:41:00,SHORT,SNIPER_FVG,228.98,229.06,-0.23744000000003712,STOP_LOSS
2025-12-02 20:29:46.299377,2025-10-12 09:47:00,LONG,SCALP_BB,232.04,228.55939999999998,-3.4040268000000093,STOP_LOSS
2025-12-02 20:29:46.365188,2025-10-12 10:02:00,SHORT,SNIPER_FVG,228.76,229.06,-0.8910000000000339,STOP_LOSS
2025-12-02 20:29:46.283337,2025-10-12 10:48:00,LONG,TREND_FOLLOWING,232.14,235.62209999999996,6.80750549999995,TAKE_PROFIT
2025-12-02 20:29:46.377553,2025-10-12 10:55:00,SHORT,SNIPER_FVG,239.64,240.5,-2.444980000000039,STOP_LOSS
2025-12-02 20:29:46.378883,2025-10-12 11:06:00,LONG,TREND_FOLLOWING,238.08,241.6512,6.795993599999955,TAKE_PROFIT
2025-12-02 20:29:46.389051,2025-10-12 12:00:00,SHORT,SNIPER_FVG,244.8,244.92,-0.3355199999999332,STOP_LOSS
2025-12-02 20:29:46.379931,2025-10-12 12:01:00,LONG,TREND_FOLLOWING,241.66,245.28489999999996,6.84743609999994,TAKE_PROFIT
2025-12-02 20:29:46.392804,2025-10-12 12:46:00,LONG,TREND_FOLLOWING,246.83,250.53244999999998,6.893961899999946,TAKE_PROFIT
2025-12-02 20:29:46.400931,2025-10-12 14:09:00,LONG,TREND_FOLLOWING,248.84,252.57259999999997,6.94636859999993,TAKE_PROFIT
2025-12-02 20:29:46.402628,2025-10-12 14:09:00,SHORT,SNIPER_FVG,251.31,252.61,-3.593200000000031,STOP_LOSS
2025-12-02 20:29:46.412440,2025-10-12 14:10:00,SHORT,SNIPER_FVG,252.61,252.61,0.0,STOP_LOSS
2025-12-02 20:29:46.412798,2025-10-12 15:01:00,SHORT,SNIPER_FVG,252.22,252.61,-1.0779600000000407,STOP_LOSS
2025-12-02 20:29:46.422310,2025-10-12 15:03:00,SHORT,SNIPER_FVG,252.61,252.61,0.0,STOP_LOSS
2025-12-02 20:29:46.435658,2025-10-12 16:33:00,SHORT,SNIPER_FVG,251.81,252.61,-2.2120000000000317,STOP_LOSS
2025-12-02 20:29:46.442173,2025-10-12 17:12:00,SHORT,SNIPER_FVG,252.43,252.61,-0.49536000000001873,STOP_LOSS
2025-12-02 20:29:46.432857,2025-10-12 17:33:00,LONG,SCALP_BB,253.62,249.8157,-3.480934500000011,STOP_LOSS
2025-12-02 20:29:46.447269,2025-10-12 18:00:00,SHORT,SNIPER_FVG,251.3,252.61,-3.605120000000006,STOP_LOSS
2025-12-02 20:29:46.452705,2025-10-12 18:20:00,SHORT,SNIPER_FVG,252.31,252.61,-0.819300000000031,STOP_LOSS
2025-12-02 20:29:46.453470,2025-10-12 18:32:00,SHORT,SNIPER_FVG,252.44,252.61,-0.46359000000004336,STOP_LOSS
2025-12-02 20:29:46.455817,2025-10-12 18:40:00,SHORT,SNIPER_FVG,252.48,252.61,-0.35425000000006507,STOP_LOSS
2025-12-02 20:29:46.456130,2025-10-12 18:51:00,SHORT,SNIPER_FVG,251.98,252.61,-1.7192700000000651,STOP_LOSS
2025-12-02 20:29:46.458387,2025-10-12 18:58:00,SHORT,SNIPER_FVG,252.4,252.61,-0.5712000000000217,STOP_LOSS
2025-12-02 20:29:46.461136,2025-10-12 20:38:00,SHORT,SNIPER_FVG,252.12,248.3382,10.29027780000001,TAKE_PROFIT
2025-12-02 20:29:46.490355,2025-10-12 23:52:00,SHORT,SNIPER_FVG,251.24,247.47140000000002,10.405104599999978,TAKE_PROFIT
2025-12-02 20:29:46.413154,2025-10-13 00:23:00,LONG,TREND_FOLLOWING,251.94,246.9012,-9.296586000000017,STOP_LOSS
